iteration_number time radius radius_size sum_phi r_dot velocity_top max_velocity RMS_velocity thickness_boundary porosity_center
158 3.3253e+00 8.0000e-01 41 3.9984e-01 1.2262e-01 -7.4080e-05 -2.0712e-06 -6.4552e-05 5.0278e+02 3.9984e-01
159 3.3416e+00 8.0000e-01 41 3.9984e-01 1.2232e-01 -7.4079e-05 -2.0711e-06 -6.4551e-05 5.0029e+02 3.9984e-01
160 3.3579e+00 8.0000e-01 41 3.9983e-01 1.2202e-01 -7.4078e-05 -2.0711e-06 -6.4550e-05 4.9780e+02 3.9983e-01
161 3.3743e+00 8.2000e-01 42 3.9984e-01 1.2173e-01 -7.8730e-05 -2.1448e-06 -6.8590e-05 4.8472e+02 3.9984e-01
162 3.3908e+00 8.2000e-01 42 3.9984e-01 1.2143e-01 -7.8729e-05 -2.1447e-06 -6.8589e-05 4.8232e+02 3.9984e-01
163 3.4072e+00 8.2000e-01 42 3.9984e-01 1.2114e-01 -7.8728e-05 -2.1447e-06 -6.8588e-05 4.7995e+02 3.9984e-01
164 3.4237e+00 8.2000e-01 42 3.9983e-01 1.2085e-01 -7.8727e-05 -2.1447e-06 -6.8587e-05 4.7759e+02 3.9983e-01
165 3.4403e+00 8.2000e-01 42 3.9983e-01 1.2056e-01 -7.8725e-05 -2.1447e-06 -6.8585e-05 4.7525e+02 3.9983e-01
166 3.4569e+00 8.2000e-01 42 3.9983e-01 1.2027e-01 -7.8724e-05 -2.1446e-06 -6.8584e-05 4.7293e+02 3.9983e-01
167 3.4735e+00 8.2000e-01 42 3.9982e-01 1.1998e-01 -7.8723e-05 -2.1446e-06 -6.8583e-05 4.7062e+02 3.9982e-01
168 3.4902e+00 8.2000e-01 42 3.9982e-01 1.1969e-01 -7.8722e-05 -2.1446e-06 -6.8582e-05 4.6834e+02 3.9982e-01
169 3.5069e+00 8.2000e-01 42 3.9982e-01 1.1941e-01 -7.8720e-05 -2.1445e-06 -6.8581e-05 4.6606e+02 3.9982e-01
170 3.5236e+00 8.2000e-01 42 3.9982e-01 1.1912e-01 -7.8719e-05 -2.1445e-06 -6.8580e-05 4.6381e+02 3.9982e-01
171 3.5404e+00 8.4000e-01 43 3.9983e-01 1.1884e-01 -8.3498e-05 -2.2177e-06 -7.2728e-05 4.6163e+02 3.9983e-01
172 3.5573e+00 8.4000e-01 43 3.9982e-01 1.1856e-01 -8.3497e-05 -2.2177e-06 -7.2726e-05 4.5945e+02 3.9982e-01
173 3.5741e+00 8.4000e-01 43 3.9982e-01 1.1828e-01 -8.3496e-05 -2.2176e-06 -7.2725e-05 4.5730e+02 3.9982e-01
