Ric_adim,coeff_velocity,exp,sum_phi,delta,r0_supercooling,tau_ic,r_dot
10.0,0.0199526231496888,0.5,0.016363,0.009947899999999999,8.0,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.016885,0.009903799999999999,8.100000000000001,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.017415,0.0098725,8.2,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.017934000000000002,0.0098428,8.299999999999999,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.018419,0.0098149,8.4,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.018872999999999997,0.0097902,8.5,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.019323,0.0097699,8.6,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.019791,0.009749700000000002,8.7,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.02046,0.010039,8.8,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.020694,0.010015999999999999,8.9,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.021244,0.009991,9.0,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.021818999999999998,0.009977,9.1,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.022422,0.0099648,9.200000000000001,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.023046,0.010121,9.3,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.023678,0.0099461,9.399999999999999,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.024294999999999997,0.0098887,9.5,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.024918,0.0099275,9.6,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.025658999999999998,0.0098488,9.7,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.026652999999999996,0.00995,9.8,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.03045,0.041669,9.9,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.16235,0.9279299999999999,10.0,251188.64315095797,1.9905358527674864e-05
10.0,0.03162277660168379,0.5,0.003159,0.015097999999999999,0.0,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.0032168,0.015055,0.8,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.0033077,0.015418000000000001,1.2,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.0033315,0.015308,0.4,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.0034034,0.015322,1.6,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.0034681999999999994,0.015475,2.0,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.0038094,0.015246000000000001,2.4,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.0041567,0.015332,2.8000000000000003,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.004843699999999999,0.015143,3.2,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.0055674999999999995,0.015209,3.5999999999999996,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.0062468,0.015066999999999999,4.0,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.007075,0.015087999999999999,4.4,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.008188800000000001,0.015399000000000001,4.8,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.0094433,0.015425,5.2,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.01115,0.015115,5.6000000000000005,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.012469,0.015090000000000001,6.0,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.014199000000000002,0.015243000000000001,6.4,100000.00000000001,4.9999999999999996e-05
